h3_index,gpu_count,annual_pue,ac_coupled_base_lcoe,ac_coupled_total_lcoe,dc_coupled_base_lcoe,dc_coupled_total_lcoe,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_construction_years,latitude,longitude
8412db1ffffffff,24000,1.0983456417516848,0.7256976979181292,1.1669976979181294,0.5830131120046042,1.0286478567465396,0.0587,1.0547671831400998,0.2223586962220612,1.20787820753076,1x Siemens SGT-A45,4.05,47.89950200626645,-117.4088006244651
8412db1ffffffff,50000,1.0983456417516848,0.7256976979181292,1.1669976979181294,0.5830131120046042,1.0286478567465398,0.0587,1.0547671831401,0.2047137628399143,1.1902332741486132,2x Siemens SGT-800,4.05,47.89950200626645,-117.4088006244651
8412db1ffffffff,750000,1.0983456417516848,0.7256976979181292,1.1669976979181294,0.5830131120046042,1.0286478567465396,0.0587,1.0547671831400995,0.1552300440810421,1.155267497087234,3x GE 7HA.02,4.05,47.89950200626645,-117.4088006244651
8412db3ffffffff,24000,1.098100167398376,0.7267107857089009,1.1680107857089008,0.5607940674360742,1.002094067436074,0.0587,1.0549897160254902,0.2223805970992127,1.2081204159644483,1x Siemens SGT-A45,4.05,47.63318579081776,-117.01306893199052
8412db3ffffffff,50000,1.098100167398376,0.7267107857089009,1.1680107857089008,0.5607940674360742,1.002094067436074,0.0587,1.0549897160254902,0.2030688287021324,1.1888086475673676,2x Siemens SGT-800,4.05,47.63318579081776,-117.01306893199052
8412db3ffffffff,750000,1.098100167398376,0.7267107857089009,1.1680107857089008,0.5607940674360742,1.002094067436074,0.0587,1.05498971602549,0.1542686369174137,1.1545296428874878,3x GE 7HA.02,4.05,47.63318579081776,-117.01306893199052
8412db5ffffffff,24000,1.0981222532510757,0.6272693882555944,1.0685693882555944,0.5046231405411662,0.9459231405411662,0.0587,1.0549696901927557,0.222378626972371,1.2080986202631991,1x Siemens SGT-A45,4.05,47.801368393051945,-117.99530249222042
8412db5ffffffff,50000,1.0981222532510757,0.6272693882555944,1.0685693882555944,0.5046231405411662,0.9459231405411662,0.0587,1.0549696901927557,0.2030673749665668,1.188787368257395,2x Siemens SGT-800,4.05,47.801368393051945,-117.99530249222042
8412db5ffffffff,750000,1.0981222532510757,0.6272693882555944,1.0685693882555944,0.5046231405411662,0.9459231405411662,0.0587,1.0549696901927557,0.1552466216302985,1.155487509970324,3x GE 7HA.02,4.05,47.801368393051945,-117.99530249222042
8412db7ffffffff,24000,1.0980781250076257,0.6445176825677364,1.0858176825677366,0.526752455613031,0.971625149922862,0.0587,1.0550097032533037,0.2223825650566361,1.2081421712774068,1x Siemens SGT-A45,4.05,47.53690920696168,-117.59906693308292
